FName,LName,Team,OppTeam,GamePoints,GameAssists,GameRebounds,GmPointsFor,GmPointsAgainst,Year
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,2,7,12,65,104,2006,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,18,0,5,108,90,2004,
Jayson,Tatum,Boston Celtics,Chicago Bulls,10,11,8,108,96,2016,
Jayson,Tatum,Boston Celtics,Utah Jazz,17,8,0,62,97,2000,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,3,7,11,90,109,2011,
Jayson,Tatum,Boston Celtics,New York Knicks,19,0,10,56,94,2000,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,5,12,1,74,51,2017,
Jayson,Tatum,Boston Celtics,Washington Wizards,4,7,14,104,102,2000,
Jayson,Tatum,Boston Celtics,Orlando Magic,2,8,5,74,93,2008,
Jayson,Tatum,Boston Celtics,Indiana Pacers,1,9,6,51,91,2008,
Jayson,Tatum,Boston Celtics,Miami Heat,13,6,7,51,63,2014,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,11,3,10,61,91,2018,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,3,6,4,108,86,2010,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,8,7,1,96,61,2008,
Jayson,Tatum,Boston Celtics,Detroit Pistons,8,4,11,80,103,2010,
Jayson,Tatum,Boston Celtics,Miami Heat,0,13,5,88,93,2018,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,13,2,1,70,61,2013,
Jayson,Tatum,Boston Celtics,New York Knicks,6,10,12,61,86,2001,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,7,8,13,55,70,2006,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,2,12,6,81,76,2003,
Jayson,Tatum,Boston Celtics,Indiana Pacers,10,11,1,52,92,2014,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,2,14,1,106,70,2002,
Jayson,Tatum,Boston Celtics,Indiana Pacers,12,11,7,102,63,2007,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,4,10,8,77,89,2007,
Jayson,Tatum,Boston Celtics,Houston Rockets,10,1,11,93,63,2013,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,14,14,11,73,84,2005,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,11,3,11,72,96,2008,
Jayson,Tatum,Boston Celtics,Sacramento Kings,11,12,10,98,68,2006,
Jayson,Tatum,Boston Celtics,Indiana Pacers,2,13,10,96,89,2004,
Jayson,Tatum,Boston Celtics,Utah Jazz,0,13,8,71,60,2014,
Jayson,Tatum,Boston Celtics,Washington Wizards,12,4,14,74,64,2001,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,0,11,2,70,78,2004,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,3,13,12,52,102,2000,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,16,5,1,87,61,2006,
Jayson,Tatum,Boston Celtics,Orlando Magic,15,4,10,72,90,2016,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,17,11,6,106,67,2006,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,16,6,14,80,65,2012,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,17,10,8,106,53,2012,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,14,1,7,61,103,2004,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,17,1,0,106,83,2009,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,16,14,2,76,102,2017,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,9,8,13,72,68,2000,
Jayson,Tatum,Boston Celtics,New Orleans Hornets,10,10,14,91,61,2009,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,0,1,3,101,77,2011,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,10,1,13,74,76,2009,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,8,11,6,53,103,2014,
Jayson,Tatum,Boston Celtics,Miami Heat,9,4,9,90,68,2016,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,0,14,8,57,95,2007,
Jayson,Tatum,Boston Celtics,Washington Wizards,18,13,2,76,84,2010,
Jayson,Tatum,Boston Celtics,Detroit Pistons,0,3,6,99,76,2010,
Jayson,Tatum,Boston Celtics,Toronto Raptors,14,13,7,107,56,2008,
Jayson,Tatum,Boston Celtics,Houston Rockets,16,3,2,68,73,2009,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,8,6,14,78,64,2015,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,5,6,13,109,108,2003,
Jayson,Tatum,Boston Celtics,New York Knicks,9,3,9,77,108,2000,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,8,14,14,76,105,2013,
Jayson,Tatum,Boston Celtics,Houston Rockets,6,14,13,59,84,2000,
Jayson,Tatum,Boston Celtics,Phoenix Suns,7,4,2,71,64,2011,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,14,5,10,84,78,2010,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,9,7,12,54,86,2017,
Jayson,Tatum,Boston Celtics,Phoenix Suns,17,7,7,53,86,2006,
Jayson,Tatum,Boston Celtics,Detroit Pistons,6,9,13,96,77,2012,
Jayson,Tatum,Boston Celtics,Utah Jazz,10,7,6,89,90,2001,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,4,12,13,86,93,2006,
Jayson,Tatum,Boston Celtics,Indiana Pacers,6,6,9,101,80,2005,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,5,11,6,68,106,2003,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,19,11,6,54,68,2007,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,14,2,4,90,98,2003,
Jayson,Tatum,Boston Celtics,Detroit Pistons,1,4,5,90,59,2006,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,19,6,8,78,96,2010,
Jayson,Tatum,Boston Celtics,Houston Rockets,18,5,4,50,86,2015,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,10,11,14,95,108,2018,
Jayson,Tatum,Boston Celtics,Washington Wizards,13,9,11,108,56,2004,
Jayson,Tatum,Boston Celtics,Detroit Pistons,17,14,8,54,50,2002,
Jayson,Tatum,Boston Celtics,Sacramento Kings,0,11,8,107,104,2006,
Jayson,Tatum,Boston Celtics,Denver Nuggets,9,8,11,102,108,2011,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,12,12,2,67,68,2002,
Jayson,Tatum,Boston Celtics,Utah Jazz,12,6,9,67,102,2011,
Jayson,Tatum,Boston Celtics,Denver Nuggets,10,14,5,108,93,2003,
Jayson,Tatum,Boston Celtics,Toronto Raptors,5,13,10,61,92,2005,
Jayson,Tatum,Boston Celtics,Golden State Warriors,14,5,6,70,56,2017,
Jayson,Tatum,Boston Celtics,Miami Heat,1,13,9,99,69,2003,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,7,0,12,54,58,2018,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,4,14,13,52,77,2018,
Jayson,Tatum,Boston Celtics,Oklahoma City Thunder,17,11,5,72,56,2015,
Jayson,Tatum,Boston Celtics,Philadelphia 76ers,10,1,3,58,88,2007,
Jayson,Tatum,Boston Celtics,Chicago Bulls,4,9,1,100,73,2014,
Jayson,Tatum,Boston Celtics,Toronto Raptors,8,8,8,102,61,2007,
Jayson,Tatum,Boston Celtics,Phoenix Suns,19,0,5,63,94,2007,
Jayson,Tatum,Boston Celtics,Golden State Warriors,0,12,13,73,61,2011,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,4,5,6,88,89,2000,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,6,1,3,77,95,2000,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,14,8,3,97,62,2006,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,18,3,8,65,107,2003,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,12,8,11,76,65,2002,
Jayson,Tatum,Boston Celtics,Indiana Pacers,10,3,4,96,76,2013,
Jayson,Tatum,Boston Celtics,Phoenix Suns,11,1,7,109,50,2007,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,2,1,3,68,104,2017,
Jayson,Tatum,Boston Celtics,Toronto Raptors,8,4,1,89,62,2003,
Jayson,Tatum,Boston Celtics,Denver Nuggets,18,8,9,56,72,2013,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,3,2,5,79,86,2009,
Jayson,Tatum,Boston Celtics,Utah Jazz,1,12,14,50,68,2004,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,10,5,6,100,78,2009,
Jayson,Tatum,Boston Celtics,Utah Jazz,17,6,10,85,84,2015,
Jayson,Tatum,Boston Celtics,Washington Wizards,16,0,13,100,89,2002,
Jayson,Tatum,Boston Celtics,Atlanta Hawks,15,9,1,106,106,2016,
Jayson,Tatum,Boston Celtics,Washington Wizards,18,5,13,63,55,2016,
Jayson,Tatum,Boston Celtics,Chicago Bulls,4,13,4,70,54,2011,
Jayson,Tatum,Boston Celtics,Miami Heat,18,2,4,58,106,2001,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,2,0,4,98,106,2013,
Jayson,Tatum,Boston Celtics,Chicago Bulls,17,5,14,51,95,2018,
Jayson,Tatum,Boston Celtics,Sacramento Kings,14,0,8,90,70,2018,
Jayson,Tatum,Boston Celtics,Golden State Warriors,2,11,8,91,98,2014,
Jayson,Tatum,Boston Celtics,Charlotte Bobcats,17,8,2,54,90,2012,
Jayson,Tatum,Boston Celtics,Toronto Raptors,11,11,2,99,96,2007,
Jayson,Tatum,Boston Celtics,Milwaukee Bucks,18,9,6,84,86,2017,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,5,2,3,86,94,2002,
Jayson,Tatum,Boston Celtics,Brooklyn Nets,15,6,11,108,105,2006,
Jayson,Tatum,Boston Celtics,Minnesota Timberwolves,14,5,9,91,52,2017,
Jayson,Tatum,Boston Celtics,Orlando Magic,16,10,2,63,51,2008,
Jayson,Tatum,Boston Celtics,Washington Wizards,13,7,1,60,93,2013,
Jayson,Tatum,Boston Celtics,Utah Jazz,4,0,5,94,68,2006,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,5,5,9,105,57,2018,
Jayson,Tatum,Boston Celtics,Los Angeles Lakers,8,1,10,107,84,2015,
Jayson,Tatum,Boston Celtics,Houston Rockets,1,12,9,96,93,2011,
Jayson,Tatum,Boston Celtics,Cleveland Cavaliers,11,7,1,105,83,2015,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,5,7,6,76,89,2016,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,1,13,4,108,92,2008,
Jayson,Tatum,Boston Celtics,Dallas Mavericks,6,5,13,92,95,2011,
Jayson,Tatum,Boston Celtics,Los Angeles Clippers,19,9,13,92,89,2002,
Jayson,Tatum,Boston Celtics,Portland Trail Blazers,11,9,0,64,85,2018,
Jayson,Tatum,Boston Celtics,Memphis Grizzlies,7,7,13,92,99,2010,
Jayson,Tatum,Boston Celtics,San Antonio Spurs,15,1,13,102,56,2008,
Jayson,Tatum,Boston Celtics,Sacramento Kings,7,12,7,103,59,2011,
Jayson,Tatum,Boston Celtics,Golden State Warriors,3,9,11,56,68,2004,
Jayson,Tatum,Boston Celtics,Chicago Bulls,1,10,3,97,61,2007,
